,,version,ihl,tos,len,id,flags,frag,ttl,proto,chksum,src,dst,options,time,sport,dport,seq,ack,dataofs,reserved,window,urgptr,payload,payload_raw,payload_hex
1,1310,4,5,0,40,0,R,0,40,6,54199,220.181.38.148,172.17.0.2,,1649261580.514338,80,41276,272399107,0,5,0,0,0,0,b'',b''
1,1258,4,5,0,60,16637,S,0,64,6,44939,172.17.0.2,220.181.38.148,5,1649261576.288413,41276,80,41359032,0,10,0,64240,0,0,b'',b''
2,1264,4,5,0,40,16638,A,0,64,6,44919,172.17.0.2,220.181.38.148,,1649261576.478959,41276,80,41359033,272398720,5,0,502,0,0,b'',b''
3,1265,4,5,0,180,16639,PA,0,64,6,45059,172.17.0.2,220.181.38.148,0,1649261576.479016,41276,80,41359033,272398720,5,0,502,0,140,"b'GET / HTTP/1.1\r\nHost: baidu.com\r\nUser-Agent: python-requests/2.27.1\r\nAccept-Encoding: gzip, deflate\r\nAccept: */*\r\nConnection: keep-alive\r\n\r\n'",b'474554202f20485454502f312e310d0a486f73743a2062616964752e636f6d0d0a557365722d4167656e743a20707974686f6e2d72657175657374732f322e32372e310d0a4163636570742d456e636f64696e673a20677a69702c206465666c6174650d0a4163636570743a202a2f2a0d0a436f6e6e656374696f6e3a206b6565702d616c6976650d0a0d0a'
4,1268,4,5,0,40,16640,A,0,64,6,44919,172.17.0.2,220.181.38.148,,1649261576.666161,41276,80,41359173,272399025,5,0,501,0,0,b'',b''
5,1270,4,5,0,40,16641,A,0,64,6,44919,172.17.0.2,220.181.38.148,,1649261576.666169,41276,80,41359173,272399106,5,0,501,0,0,b'',b''
6,1271,4,5,0,40,16642,FA,0,64,6,44919,172.17.0.2,220.181.38.148,,1649261576.666622,41276,80,41359173,272399106,5,0,501,0,0,b'',b''
7,1280,4,5,0,52,16643,A,0,64,6,44931,172.17.0.2,220.181.38.148,3,1649261576.673946,41276,80,41359174,272399106,8,0,501,0,0,b'',b''
8,1285,4,5,0,40,0,A,0,64,6,47097,172.17.0.2,220.181.38.148,,1649261576.860091,41276,80,41359174,272399107,5,0,501,0,0,b'',b''
9,1287,4,5,0,40,0,A,0,64,6,47097,172.17.0.2,220.181.38.148,,1649261577.294156,41276,80,41359174,272399107,5,0,501,0,0,b'',b''
10,4561,4,5,0,40,3850,RA,0,224,6,58348,207.171.166.22,172.17.0.2,,1649261645.201577,443,59678,0,1262769116,5,0,8212,0,0,b'',b''
10,4552,4,5,0,60,13459,S,0,64,6,8708,172.17.0.2,207.171.166.22,5,1649261645.131853,59678,443,1262769115,0,10,0,64240,0,0,b'',b''
11,4563,4,5,0,40,42370,RA,0,211,6,4057,72.21.210.29,172.17.0.2,,1649261645.258523,443,36186,0,1116465148,5,0,8212,0,0,b'',b''
11,4478,4,5,0,60,32011,S,0,64,6,50804,172.17.0.2,72.21.210.29,5,1649261644.807456,46406,80,2504471220,0,10,0,64240,0,0,b'',b''
12,4482,4,5,0,40,32012,A,0,64,6,50784,172.17.0.2,72.21.210.29,,1649261644.864125,46406,80,2504471221,3321816579,5,0,502,0,0,b'',b''
13,4483,4,5,0,184,32013,PA,0,64,6,50928,172.17.0.2,72.21.210.29,0,1649261644.864191,46406,80,2504471221,3321816579,5,0,502,0,144,"b'GET / HTTP/1.1\r\nHost: amazonaws.com\r\nUser-Agent: python-requests/2.27.1\r\nAccept-Encoding: gzip, deflate\r\nAccept: */*\r\nConnection: keep-alive\r\n\r\n'",b'474554202f20485454502f312e310d0a486f73743a20616d617a6f6e6177732e636f6d0d0a557365722d4167656e743a20707974686f6e2d72657175657374732f322e32372e310d0a4163636570742d456e636f64696e673a20677a69702c206465666c6174650d0a4163636570743a202a2f2a0d0a436f6e6e656374696f6e3a206b6565702d616c6976650d0a0d0a'
14,4487,4,5,0,40,32014,A,0,64,6,50784,172.17.0.2,72.21.210.29,,1649261644.939367,46406,80,2504471365,3321817013,5,0,501,0,0,b'',b''
15,4545,4,5,0,40,32015,FA,0,64,6,50784,172.17.0.2,72.21.210.29,,1649261645.128979,46406,80,2504471365,3321817013,5,0,501,0,0,b'',b''
16,4560,4,5,0,40,32016,A,0,64,6,50784,172.17.0.2,72.21.210.29,,1649261645.185453,46406,80,2504471366,3321817014,5,0,501,0,0,b'',b''
17,4562,4,5,0,60,10420,S,0,64,6,50804,172.17.0.2,72.21.210.29,5,1649261645.201718,36186,443,1116465147,0,10,0,64240,0,0,b'',b''
18,4565,4,5,0,40,13751,RA,0,211,6,24668,72.21.206.80,172.17.0.2,,1649261645.322210,443,51336,0,1132551970,5,0,8212,0,0,b'',b''
18,4564,4,5,0,60,12172,S,0,64,6,49831,172.17.0.2,72.21.206.80,5,1649261645.258668,51336,443,1132551969,0,10,0,64240,0,0,b'',b''
19,5715,4,5,0,40,0,R,0,51,6,11317,104.18.100.40,172.17.0.2,,1649261654.083795,443,58204,2200216353,0,5,0,0,0,0,b'',b''
19,5454,4,5,0,60,4900,S,0,64,6,30844,172.17.0.2,104.18.100.40,5,1649261652.133678,58204,443,3161610293,0,10,0,64240,0,0,b'',b''
20,5459,4,5,0,40,4901,A,0,64,6,30824,172.17.0.2,104.18.100.40,,1649261652.161971,58204,443,3161610294,2200213205,5,0,502,0,0,b'',b''
