,version,ihl,tos,len,id,flags,frag,ttl,proto,chksum,src,dst,options,time,sport,dport,seq,ack,dataofs,reserved,flags,window,chksum,urgptr,options,payload,payload_raw,payload_hex
0,4,5,0,40,22067,DF,0,45,6,10353,36.51.254.229,172.17.0.2,0,1649261659.357947,80,55796,4082177740,0,5,0,R,0,64593,0,,0,b'',b''
1,4,5,0,40,37874,DF,0,39,6,12782,180.101.45.119,172.17.0.2,0,1649262295.403274,80,49540,1906207919,0,5,0,R,0,33230,0,,0,b'',b''
2,4,5,0,40,58811,DF,0,231,6,11965,213.59.254.7,172.17.0.2,0,1649262520.306880,80,55070,2761466053,2257825749,5,0,RA,0,56643,0,,0,b'',b''
3,4,5,0,40,15229,DF,0,42,6,808,121.22.237.1,172.17.0.2,0,1649262669.731272,80,55224,51515142,0,5,0,R,0,45972,0,,0,b'',b''
4,4,5,0,40,11124,DF,0,225,6,42688,160.106.123.29,172.17.0.2,0,1649262769.282375,80,41942,3573985039,2733027614,5,0,RA,0,27635,0,,0,b'',b''
5,4,5,0,40,56466,DF,0,239,6,48022,170.194.156.208,172.17.0.2,0,1649262878.346852,80,38044,913294739,2531838868,5,0,RA,0,51389,0,,0,b'',b''
6,4,5,0,40,58859,DF,0,239,6,45629,170.194.156.208,172.17.0.2,0,1649262878.433135,80,38044,913294739,2531838868,5,0,RA,0,51389,0,,0,b'',b''
7,4,5,0,40,21301,DF,0,234,6,61130,157.191.4.253,172.17.0.2,0,1649263097.905190,80,57052,949893651,2509888796,5,0,RA,0,40044,0,,0,b'',b''
8,4,5,0,40,14818,DF,0,104,6,25558,77.238.123.22,172.17.0.2,0,1649263380.838918,443,50592,2096086432,2878641240,5,0,RA,0,63711,0,,0,b'',b''
9,4,5,0,40,59933,DF,0,46,6,43737,186.192.81.5,172.17.0.2,0,1649263432.477301,443,34920,1270472616,2004834838,5,0,RA,18980,9912,0,,0,b'',b''
10,4,5,0,40,57338,DF,0,51,6,59916,107.154.102.27,172.17.0.2,0,1649263516.379649,443,51894,3442960991,3731963036,5,0,RA,9490,60894,0,,0,b'',b''
11,4,5,0,40,53656,DF,0,228,6,14619,85.153.138.111,172.17.0.2,0,1649263590.625259,80,46356,3017267373,0,5,0,R,8201,49617,0,,0,b'',b''
12,4,5,0,40,8610,DF,0,234,6,54887,161.221.74.213,172.17.0.2,0,1649263706.745133,80,49374,3440386753,79365278,5,0,RA,0,23729,0,,0,b'',b''
13,4,5,0,40,20227,DF,0,101,6,20750,13.89.188.82,172.17.0.2,0,1649264052.741424,443,59788,543946710,2455218342,5,0,RA,0,64393,0,,0,b'',b''
14,4,5,0,40,9187,,0,232,6,22774,58.215.111.12,172.17.0.2,0,1649264223.120140,443,34234,1604998956,1321931441,5,0,RA,9814,37819,0,,0,b'',b''
15,4,5,0,40,18565,,0,232,6,13396,58.215.111.12,172.17.0.2,0,1649264223.938306,443,34236,258913674,2446222157,5,0,RA,9814,61943,0,,0,b'',b''
16,4,5,0,40,20,DF,0,43,6,12069,220.181.151.206,172.17.0.2,0,1649264392.249600,80,37418,3026763760,0,5,0,R,0,34933,0,,0,b'',b''
17,4,5,0,40,20,DF,0,43,6,12070,220.181.151.205,172.17.0.2,0,1649264392.262807,443,39910,2719157315,0,5,0,R,0,17234,0,,0,b'',b''
18,4,5,0,40,20,DF,0,43,6,12070,220.181.151.205,172.17.0.2,0,1649264393.105316,443,39912,2259082516,0,5,0,R,0,36331,0,,0,b'',b''
19,4,5,0,40,37537,DF,0,231,6,15631,151.207.128.60,172.17.0.2,0,1649264574.447012,80,37990,2507836482,905435399,5,0,RA,0,9791,0,,0,b'',b''
20,4,5,0,40,37537,DF,0,231,6,15631,151.207.128.60,172.17.0.2,0,1649264574.447014,80,37990,2507836482,905435399,5,0,RA,0,9791,0,,0,b'',b''
21,4,5,0,40,64437,DF,0,231,6,54266,151.207.128.60,172.17.0.2,0,1649264574.455590,443,34016,2901007029,240846802,5,0,RA,0,51017,0,,0,b'',b''
22,4,5,0,40,64437,DF,0,231,6,54266,151.207.128.60,172.17.0.2,0,1649264574.455591,443,34016,2901007029,240846802,5,0,RA,0,51017,0,,0,b'',b''
23,4,5,0,40,492,DF,0,231,6,52676,151.207.128.60,172.17.0.2,0,1649264574.767600,443,34020,1808719633,3355711825,5,0,RA,0,14556,0,,0,b'',b''
24,4,5,0,40,492,DF,0,231,6,52676,151.207.128.60,172.17.0.2,0,1649264574.767601,443,34020,1808719633,3355711825,5,0,RA,0,14556,0,,0,b'',b''
25,4,5,0,40,22480,DF,0,98,6,53726,52.4.15.10,172.17.0.2,0,1649264603.171175,443,40082,792019157,4044540818,5,0,RA,4745,58152,0,,0,b'',b''
26,4,5,0,40,54381,DF,0,234,6,14780,128.143.86.3,172.17.0.2,0,1649264916.527039,80,57542,3705680865,1852233196,5,0,RA,0,63230,0,,0,b'',b''
27,4,5,0,40,37461,DF,0,234,6,31700,128.143.86.3,172.17.0.2,0,1649264926.440082,443,44600,1629276258,3563893053,5,0,RA,18980,33769,0,,0,b'',b''
28,4,5,0,40,5201,DF,0,47,6,38895,4.14.239.110,172.17.0.2,0,1649265257.310712,80,33714,2992704375,0,5,0,R,0,52853,0,,0,b'',b''
29,4,5,0,40,23370,DF,0,231,6,3367,129.43.254.31,172.17.0.2,0,1649265627.052123,80,33338,708693350,4129002515,5,0,RA,0,32788,0,,0,b'',b''
30,4,5,0,40,18731,DF,0,231,6,43316,83.66.162.26,172.17.0.2,0,1649266152.843076,443,55050,1036434027,1407803897,5,0,RA,9952,24742,0,,0,b'',b''
31,4,5,0,40,20,DF,0,43,6,49245,101.89.125.242,172.17.0.2,0,1649266544.202157,443,39208,3813158867,0,5,0,R,0,29314,0,,0,b'',b''
